,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
371380,371380,Dr. Spacezoo,SmashRiot LLC,SmashRiot LLC,,9,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
448230,448230,AsteroidsHD,NewWorldCoders,NewWorldCoders,,12,15,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1415470,1415470,Team-Z,Friso van Waveren,Extrapolated,,0,2,0,"0 .. 20,000",0,0,0,0,899,899,0,1
427830,427830,Hybrid Beasts,Beastbits,Beastbits,,4,1,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
459870,459870,VIRTUAnimator,Pheonise,Pheonise,,3,3,0,"0 .. 20,000",0,0,0,0,999,999,0,0
429480,429480,Vision Runner,Snowbit Interactive,Snowbit Interactive,,4,5,0,"0 .. 20,000",0,0,0,0,999,999,0,0
572350,572350,Craftmas,Freeform Labs,MANDT VR,,2,1,0,"0 .. 20,000",3,0,3,0,499,499,0,0
583530,583530,Aquila Bird Flight Simulator,Graeme Scott,Graeme Scott,,14,6,0,"0 .. 20,000",0,0,0,0,499,499,0,0
585310,585310,Beyond the City VR,成都小微云联 LittleV,成都小微云联 LittleV,,6,3,0,"0 .. 20,000",0,0,0,0,499,499,0,0
565490,565490,Tier 1,100 Plus Games llc,100 Plus Games llc,,0,1,0,"0 .. 20,000",0,0,0,0,499,499,0,0
493480,493480,ERISLE,Expect Studio, Expect Studio ,,10,11,0,"0 .. 20,000",0,0,0,0,0,0,0,0
681670,681670,Elly The Jelly,Seize Studios,Seize Studios,,1,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
700400,700400,Planet Bash,Killerkun,Big Red Planet,,5,1,0,"0 .. 20,000",0,0,0,0,499,499,0,0
756600,756600,Trianga's Project: Battle Splash 2.0,Dranya Studio,Dranya Studio,,62,7,0,"0 .. 20,000",0,0,0,0,999,999,0,0
781130,781130,Creatura,Koksny.com,Koksny.com,,27,7,0,"0 .. 20,000",0,0,0,0,1599,1599,0,1
809200,809200,TRIGGERED,eelDev,eelDev,,5,6,0,"0 .. 20,000",0,0,0,0,899,899,0,0
822840,822840,METAL,S.E.E.D.,S.E.E.D.,,0,1,0,"0 .. 20,000",0,0,0,0,799,799,0,0
880200,880200,J15 Jet Fighter VR (歼15舰载机),Magicvalley Studio,Magicvalley Studio,,15,18,0,"0 .. 20,000",0,0,0,0,999,999,0,0
910380,910380,Red and the Deadly Sins,"Diantong Intelligence Tech. Shanghai Co.,Ltd.","Diantong Intelligence Tech. Shanghai Co.,Ltd.",,9,1,0,"0 .. 20,000",0,0,0,0,799,799,0,0
922170,922170,The True Slime King,Josh Penn-Pierson,Josh Penn-Pierson,,3,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
917600,917600,Became The Hunted,FourthPixel,FourthPixel,,1,12,0,"0 .. 20,000",0,0,0,0,599,599,0,0
931450,931450,Solar Purge,Hitscan Games,Hitscan Games,,12,2,0,"0 .. 20,000",0,0,0,0,2499,2499,0,1
973350,973350,Warriors Of Ragnarök,"Round Squares Studios LTD, Samurai Duck Studios LTD",Round Squares Studios LTD,,3,0,0,"0 .. 20,000",0,0,0,0,699,699,0,0
966250,966250,Homestead,Lucas Smith,Lucas Smith,,1,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
976340,976340,You Can(Not) Survive,DAX Entertainment,DAX Entertainment,,17,9,0,"0 .. 20,000",0,0,0,0,499,499,0,0
948270,948270,Byte Chaser,Kit Martin,Anthopper Development,,0,1,0,"0 .. 20,000",0,0,0,0,1599,1599,0,0
1011260,1011260,Settlement Zero,Blueinca Studios,Blueinca Studios,,3,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1021780,1021780,The Region,Black Snake Games,Black Snake Games,,10,37,0,"0 .. 20,000",0,0,0,0,599,599,0,0
967330,967330,Starfighter: Infinity,Ben Olding Games,Ben Olding Games,,72,7,0,"0 .. 20,000",0,0,0,0,1999,1999,0,3
1095140,1095140,PrimeOrbial,"RainbowVerse, LLC",Self,,3,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1051850,1051850,Free Company VR,Pomshine Games,Pomshine Games,,18,10,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
1138260,1138260,Figure Simulator War,H-GIRL,H-GIRL,,36,10,0,"0 .. 20,000",0,0,0,0,499,999,50,2
1174780,1174780,MONEY LOVES SILENCE,Vasiliy Sadovyi,Vasiliy Sadovyi,,16,4,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1204380,1204380,CityWarHeroes VR,eiNpictures,eiNpictures,,6,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1253240,1253240,Super Astreus 2,4M2Q Studios,4M2Q Studios,,1,0,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
1271420,1271420,Chronicles of Honor,"Forge Father Games, Inc.","Forge Father Games, Inc.",,3,4,0,"0 .. 20,000",0,0,0,0,2499,2499,0,0
1012430,1012430,Furs of Fury,"Andy Domin, Sara Domin, Nick Ingvoldstad",Your Infamous LLC,,2,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
332760,332760,Friendship Club,"Force Of Habit, Clockwork Cuckoo",Force Of Habit,,14,3,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
