,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
421630,421630,A Study in Steampunk: Choice by Gaslight,Hosted Games,Hosted Games,,146,5,0,"0 .. 20,000",0,0,0,0,399,399,0,1
416190,416190,Vehicle Simulator,Quality Simulations,Quality Simulations,,104,23,0,"0 .. 20,000",0,0,0,0,3000,3000,0,19
1116030,1116030,Oceanum Mortis,Brewsterland Studios,Brewsterland Studios,,6,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0
742490,742490,Nonogram - The Greatest Painter,Konstructors,Hook Games,,109,23,0,"0 .. 20,000",0,0,0,0,299,299,0,6
415740,415740,OmniBus,"Buddy Cops, LLC",Devolver Digital,,302,76,0,"0 .. 20,000",435,0,780,0,499,499,0,2
655770,655770,Crimson Gray,Sierra Lee,Sierra Lee,,235,11,0,"0 .. 20,000",0,0,0,0,999,999,0,2
367010,367010,Vernon's Legacy,TripleBrick,TripleBrick,,66,44,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
805280,805280,Dead Rain - New Zombie Virus,Tiny devbox,Tiny devbox,,32,8,0,"0 .. 20,000",0,0,0,0,0,0,0,0
669770,669770,Strangers in a Strange Land,SOMG,SOMG,,50,32,0,"0 .. 20,000",0,0,0,0,499,499,0,0
971780,971780,ECON - Elemental Connection,Twelve Tiles,Twelve Tiles,,4,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
679860,679860,ZAP Master,Zapping Studios,Zapping Studios,,20,18,0,"0 .. 20,000",0,0,0,0,99,99,0,0
992360,992360,Otiiz's adventure - Sushi Champ,BXTT studio,BXTT studio,,0,3,0,"0 .. 20,000",0,0,0,0,399,399,0,0
682960,682960,Purgation,"Arttu Tuovinen, Paul Georgeon, Corentin Jezequel, Eddine Omar, Alexandre Petrault, Johan Rendy",Michael Callaghan,,11,4,0,"0 .. 20,000",0,0,0,0,0,0,0,0
698710,698710,Artania,Quiquopro Games,Quiquopro Games,,43,24,0,"0 .. 20,000",81,0,81,0,199,1999,90,0
709670,709670,Clarent Saga: Tactics,David Nguyen,David Nguyen,,29,2,0,"0 .. 20,000",0,0,0,0,0,0,0,1
438910,438910,"Hack, Slash & Backstab",MAGIC Spell Studios,MAGIC Spell Studios,,2,8,0,"0 .. 20,000",0,0,0,0,499,499,0,0
703620,703620,Clash Force,Spicy Gyro Games,Shiny Dolphin Games LLC,,79,13,0,"0 .. 20,000",0,0,0,0,499,499,0,0
713540,713540,Neptunian Donut,Alex's Granny,Alex's Granny,,67,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
842780,842780,NavalArt,Rigidbody,Rig&amp;Zig Entertainment,,140,42,0,"0 .. 20,000",0,0,0,0,799,799,0,8
1192890,1192890,Shoot Them,Cтрельба,Cтрельба,,59,11,0,"0 .. 20,000",0,0,0,0,99,99,0,0
317300,317300,Roommates,Winter Wolves,Winter Wolves,,149,54,0,"0 .. 20,000",90,0,94,0,2499,2499,0,2
1014020,1014020,Successor of the Moon,魔术工坊,SakuraGame,,91,20,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1236240,1236240,Zero IDLE,ZeroWorldwide,ZeroWorldwide,,21,6,0,"0 .. 20,000",0,0,0,0,0,0,0,210
667040,667040,Alicia Quatermain 2: The Stone of Fate,"Jetdogs Studios, Whalebox",Jetdogs Studios,,48,5,0,"0 .. 20,000",0,0,0,0,299,299,0,2
1447080,1447080,SMFly: Ice Age,FreeAnimals_Software,Dnovel,,10,0,0,"0 .. 20,000",0,0,0,0,539,899,40,0
748880,748880,External Visions,team BitClub,team BitClub,,23,9,0,"0 .. 20,000",0,0,0,0,0,0,0,0
513840,513840,Friday Night Bullet Arena,Red Nexus Games Inc.,Red Nexus Games Inc.,,6,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1022710,1022710,Conglomerate 451,RuneHeads,1C Entertainment,,108,42,0,"0 .. 20,000",164,0,164,0,1999,1999,0,2
613800,613800,Space Epic Untitled - Season 1,"KUMA, LLC","KUMA, LLC",,11,21,0,"0 .. 20,000",0,0,0,0,0,0,0,0
907760,907760,ARIDA: Backland's Awakening,Aoca Game Lab,Aoca Game Lab,,307,23,0,"0 .. 20,000",0,0,0,0,699,699,0,1
884900,884900,Slider,Albireo Games,Albireo Games,,2,5,0,"0 .. 20,000",0,0,0,0,99,99,0,0
375020,375020,Al Emmo's Postcards from Anozira,Himalaya Studios,Himalaya Studios,,14,11,0,"0 .. 20,000",265,0,265,0,499,499,0,0
532660,532660,Exteria,Mysteria Studio,Mysteria Studio,,14,15,0,"0 .. 20,000",241,0,241,0,199,199,0,0
544530,544530,Escape Bloody Mary,Well Told Entertainment,Well Told Entertainment,,48,13,0,"0 .. 20,000",0,0,0,0,399,399,0,0
907950,907950,Falldown 79: Bottle of truth,Lohsoft,Lohsoft,,28,23,0,"0 .. 20,000",0,0,0,0,99,99,0,0
547970,547970,Celestial Breach,Dark Nebulae,Dark Nebulae,,12,9,0,"0 .. 20,000",0,0,0,0,999,999,0,0
294190,294190,A-Men 2,Bloober Team SA,Bloober Team SA,,13,12,0,"0 .. 20,000",271,0,271,0,899,899,0,0
