,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
585710,585710,Blazing Beaks,Applava,Applava,,756,115,0,"50,000 .. 100,000",213,0,312,0,1499,1499,0,21
553660,553660,PWND,Skydance Interactive,Skydance Interactive,,650,267,0,"50,000 .. 100,000",125,0,195,0,0,0,0,0
559340,559340,Sunset Rangers,FishermanGameDev,FishermanGameDev,,133,151,0,"50,000 .. 100,000",0,0,0,0,799,799,0,0
546400,546400,Cavern Escape Extremely Hard game!!!,White Dog Games,White Dog Games,,132,247,0,"50,000 .. 100,000",212,0,211,0,399,399,0,3
574980,574980,Them's Fightin' Herds,Mane6 Dev Team,Humble Games,,2136,204,0,"50,000 .. 100,000",600,0,623,0,1499,1499,0,45
436320,436320,Raw Data,Survios,Survios,,1764,376,0,"50,000 .. 100,000",245,0,426,0,3999,3999,0,11
571350,571350,DED,"L. Stotch, Vladimir Soldatov","L. Stotch, Vladimir Soldatov",,417,94,0,"50,000 .. 100,000",10,0,10,0,0,0,0,0
310850,310850,Onikira - Demon Killer,Digital Furnace Games,Headup Games,,137,207,0,"50,000 .. 100,000",182,0,182,0,1399,1399,0,0
342970,342970,Pixel Survivors,Patagoniart,Patagoniart,,191,96,0,"50,000 .. 100,000",290,0,318,0,399,399,0,0
321270,321270,UNLOVED,BlueEagle Productions,Paul Schneider,,722,208,0,"50,000 .. 100,000",231,0,363,0,499,499,0,6
383790,383790,The Ship: Remasted,Blazing Griffin,Blazing Griffin,,369,262,0,"50,000 .. 100,000",233,0,330,0,999,999,0,1
470270,470270,Tribal Pass,"Tribe Tea, Stas Shostak, Evgeniy Yudin, Alexzander Protasenya, Ruslan Viter",Stas Shostak,,257,71,0,"50,000 .. 100,000",249,0,262,0,699,699,0,1
1000080,1000080,Zengeon,IndieLeague Studio,2P Games,,988,330,0,"50,000 .. 100,000",273,0,407,0,1999,1999,0,1
294000,294000,Knight Squad,Chainsawesome Games,Chainsawesome Games,,288,47,0,"50,000 .. 100,000",82,0,91,0,1499,1499,0,3
592890,592890,Insidia,Bad Seed,Bad Seed,,151,81,0,"50,000 .. 100,000",44,0,70,0,0,0,0,0
612470,612470,Bio Inc. Redemption,DryGin Studios,DryGin Studios,,1083,145,0,"50,000 .. 100,000",223,0,278,0,1299,1299,0,30
438920,438920,Legends of Callasia,Boomzap Entertainment,Boomzap Entertainment,,207,49,0,"50,000 .. 100,000",12,0,22,0,1499,1499,0,1
415590,415590,Earthfall,Holospark,Holospark,,1351,704,0,"50,000 .. 100,000",99,0,126,0,1999,1999,0,8
1138080,1138080,斗地主少女/ Landlord Girls,七彩绘色游戏,七彩绘色游戏,,1094,417,0,"50,000 .. 100,000",205,0,278,0,499,499,0,16
366440,366440,Savage Resurrection,"S2 Games, LLC","S2 Games, LLC",,824,624,0,"50,000 .. 100,000",489,0,643,0,0,0,0,1
392040,392040,War Blade,Tvr Games,Tvr Games,,260,191,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
327860,327860,Salt,Lavaboots Studios,Lavaboots Studios,,1486,408,0,"50,000 .. 100,000",530,0,830,0,1499,1499,0,10
494150,494150,The Thrill of the Fight - VR Boxing,Sealost Interactive LLC,Sealost Interactive LLC,,1667,76,0,"50,000 .. 100,000",22,0,22,0,999,999,0,23
