,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
20920,20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",,53149,5945,0,"2,000,000 .. 5,000,000",1111,226,337,226,1999,1999,0,1359
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,46921,4055,0,"2,000,000 .. 5,000,000",514,11,185,11,0,0,0,1355
323370,323370,TERA,"Bluehole, Inc.",En Masse Entertainment,,13148,3457,0,"2,000,000 .. 5,000,000",1573,0,298,0,0,0,0,142
42910,42910,Magicka,Arrowhead Game Studios,Paradox Interactive,,23304,2676,0,"2,000,000 .. 5,000,000",551,215,268,233,999,999,0,167
7670,7670,BioShock,"2K Boston, 2K Australia",2K,,22522,1322,0,"2,000,000 .. 5,000,000",304,0,100,0,1999,1999,0,83
211820,211820,Starbound,Chucklefish,Chucklefish,,134933,9930,0,"2,000,000 .. 5,000,000",3807,441,1534,344,1499,1499,0,2259
286160,286160,Tabletop Simulator,Berserk Games,Berserk Games,,32693,1311,0,"2,000,000 .. 5,000,000",1722,357,559,442,1999,1999,0,8146
489830,489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,,113750,15840,0,"2,000,000 .. 5,000,000",3110,526,818,913,3999,3999,0,16994
355840,355840,Survarium,Vostok Games,Vostok Games,,12480,10767,0,"2,000,000 .. 5,000,000",296,339,42,339,0,0,0,462
435150,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,101449,4177,0,"2,000,000 .. 5,000,000",3954,647,2050,663,4499,4499,0,17231
306130,306130,The Elder Scrolls Online,Zenimax Online Studios,Bethesda Softworks,,69162,16997,0,"2,000,000 .. 5,000,000",4600,1417,1536,2494,1999,1999,0,24928
48700,48700,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,,116292,2767,0,"2,000,000 .. 5,000,000",5558,37,2092,47,1999,1999,0,5189
200710,200710,Torchlight II,Runic Games,Runic Games,,34986,2239,0,"2,000,000 .. 5,000,000",1553,60,634,83,1999,1999,0,632
391540,391540,Undertale,tobyfox,tobyfox,,131206,5055,0,"2,000,000 .. 5,000,000",688,0,233,0,999,999,0,838
224600,224600,Defiance,Trion Worlds,Trion Worlds,,9569,2975,0,"2,000,000 .. 5,000,000",834,0,145,0,0,0,0,56
200210,200210,Realm of the Mad God Exalt,"Wild Shadow Studios, Deca Games",Deca Games,,30644,5678,0,"2,000,000 .. 5,000,000",861,1040,78,1040,0,0,0,2669
204360,204360,Castle Crashers,The Behemoth,The Behemoth,,67059,2782,0,"2,000,000 .. 5,000,000",600,47,289,59,1499,1499,0,851
99900,99900,Spiral Knights,"Grey Havens, LLC","Grey Havens, LLC",,17683,3392,0,"2,000,000 .. 5,000,000",1497,16,107,16,0,0,0,247
262060,262060,Darkest Dungeon,Red Hook Studios,Red Hook Studios,,73101,8182,0,"2,000,000 .. 5,000,000",2504,135,883,143,2499,2499,0,4457
20900,20900,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",,45842,5858,0,"2,000,000 .. 5,000,000",1028,0,317,0,999,999,0,1349
261640,261640,Borderlands: The Pre-Sequel,"2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)",,26630,6493,0,"2,000,000 .. 5,000,000",1378,220,483,440,3999,3999,0,601
212500,212500,The Lord of the Rings Online,"Standing Stone Games, LLC","Standing Stone Games, LLC",,9414,2287,0,"2,000,000 .. 5,000,000",610,73,152,73,0,0,0,1278
203770,203770,Crusader Kings II,Paradox Development Studio,Paradox Interactive,,54366,6055,0,"2,000,000 .. 5,000,000",4213,1225,256,1291,0,0,0,4502
22380,22380,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,,104286,4120,0,"2,000,000 .. 5,000,000",3664,172,759,229,999,999,0,5392
279720,279720,The I of the Dragon,Primal,TopWare Interactive,,476,261,0,"2,000,000 .. 5,000,000",308,0,270,0,699,699,0,72
356190,356190,Middle-earth: Shadow of War,Monolith Productions,WB Games,,42082,7423,0,"2,000,000 .. 5,000,000",2319,252,1719,321,4999,4999,0,4191
744900,744900,Dead Frontier 2,Creaky Corpse Ltd,Creaky Corpse Ltd,,10562,4428,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,645
113200,113200,The Binding of Isaac,Edmund McMillen and Florian Himsl,Edmund McMillen,,46269,2089,0,"2,000,000 .. 5,000,000",1269,12,289,12,499,499,0,322
107100,107100,Bastion,Supergiant Games,Supergiant Games,,31123,1356,0,"2,000,000 .. 5,000,000",358,0,245,0,1499,1499,0,105
39120,39120,RIFT,Trion Worlds,Trion Worlds,,7448,2511,0,"2,000,000 .. 5,000,000",1467,0,319,0,0,0,0,337
8500,8500,EVE Online,CCP,CCP,,15522,4785,0,"2,000,000 .. 5,000,000",1631,35,129,35,0,0,0,5320
253980,253980,Enclave,Starbreeze,Topware Interactive,,4517,1210,0,"2,000,000 .. 5,000,000",245,494,250,494,499,499,0,63
372000,372000,Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",,11680,6610,0,"2,000,000 .. 5,000,000",1538,0,257,0,0,0,0,1878
24200,24200,DC Universe Online,Dimensional Ink Games,Daybreak Game Company,,12256,3190,0,"2,000,000 .. 5,000,000",2674,0,452,0,0,0,0,576
475150,475150,Titan Quest Anniversary Edition,"Iron Lore Entertainment, THQ Nordic",THQ Nordic,,17252,1653,0,"2,000,000 .. 5,000,000",1063,0,334,0,1999,1999,0,1619
213670,213670,South Park: The Stick of Truth,Obsidian Entertainment,Ubisoft,,42619,1078,0,"2,000,000 .. 5,000,000",819,0,778,0,2999,2999,0,243
268420,268420,Aura Kingdom,X-Legend,Aeria Games,,6547,1732,0,"2,000,000 .. 5,000,000",453,0,126,0,0,0,0,284
424370,424370,Wolcen: Lords of Mayhem,WOLCEN Studio,WOLCEN Studio,,31585,25053,0,"2,000,000 .. 5,000,000",2086,1166,1514,1166,3999,3999,0,377
766570,766570,Russian Fishing 4,Russian Fishing,Russian Fishing,,9626,3519,0,"2,000,000 .. 5,000,000",1303,0,49,0,0,0,0,4932
247080,247080,Crypt of the NecroDancer,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",,18448,723,0,"2,000,000 .. 5,000,000",334,34,151,34,1499,1499,0,165
439190,439190,Stories: The Path of Destinies,Spearhead Games,Spearhead Games,,5098,700,0,"2,000,000 .. 5,000,000",317,0,303,0,1499,1499,0,9
9900,9900,Star Trek Online,Cryptic Studios,Perfect World Entertainment,,10498,2966,0,"2,000,000 .. 5,000,000",4001,18,1091,18,0,0,0,1594
335300,335300,DARK SOULS II: Scholar of the First Sin,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",,45343,6936,0,"2,000,000 .. 5,000,000",3663,710,2778,834,3999,3999,0,1874
104900,104900,ORION: Prelude,Spiral Game Studios,DANKIE,,21954,7391,0,"2,000,000 .. 5,000,000",267,0,158,0,99,99,0,18
1145360,1145360,Hades,Supergiant Games,Supergiant Games,,50787,754,0,"2,000,000 .. 5,000,000",1501,486,972,460,1999,2499,20,27428
22370,22370,Fallout 3: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,,22370,5950,0,"2,000,000 .. 5,000,000",1017,0,210,0,1999,1999,0,346
409710,409710,BioShock Remastered,"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",,19408,6478,0,"2,000,000 .. 5,000,000",434,5,179,5,1999,1999,0,506
22330,22330,The Elder Scrolls IV: Oblivion Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,,24173,1152,0,"2,000,000 .. 5,000,000",1597,0,311,0,1499,1499,0,720
630100,630100,SoulWorker - Anime Action MMO,"Lion Games Co., Ltd.",Gameforge 4D GmbH,,10903,2767,0,"2,000,000 .. 5,000,000",570,0,102,0,0,0,0,829
388410,388410,Darksiders II Deathinitive Edition,"Gunfire Games, Vigil Games, THQ Nordic",THQ Nordic,,8642,2660,0,"1,000,000 .. 2,000,000",1067,0,825,0,2999,2999,0,214
379430,379430,Kingdom Come: Deliverance,Warhorse Studios,"Warhorse Studios, Deep Silver",,55528,13267,0,"1,000,000 .. 2,000,000",2207,1197,1235,1288,2999,2999,0,3280
812140,812140,Assassin's Creed Odyssey,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai",Ubisoft,,74370,9998,0,"1,000,000 .. 2,000,000",4854,2221,3461,3272,5999,5999,0,8591
359320,359320,Elite Dangerous,Frontier Developments,Frontier Developments,,45381,14035,0,"1,000,000 .. 2,000,000",3907,443,1624,497,2999,2999,0,10425
389430,389430,Knight Online,"Noah System, Mgame",NTTGame,,4369,4733,0,"1,000,000 .. 2,000,000",7537,0,580,0,0,0,0,1835
485510,485510,Nioh: Complete Edition / 仁王 Complete Edition,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,17766,4345,0,"1,000,000 .. 2,000,000",2017,76,1214,76,4999,4999,0,690
113420,113420,Fallen Earth Free2Play,Little Orbit,Little Orbit,,3987,3124,0,"1,000,000 .. 2,000,000",345,0,45,0,0,0,0,1
