,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
977390,977390,Tokyo Warfare Turbo,Pablo Vidaurre Sanz,Pablo Vidaurre Sanz,,234,67,0,"0 .. 20,000",12,0,12,0,1499,1499,0,0
771240,771240,YumeCore,takayakata,takayakata,,116,5,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1295420,1295420,Chaos Party,OSI Studios,Otaku's Industry,,5,0,0,"0 .. 20,000",0,0,0,0,899,899,0,0
1010270,1010270,Nether: The Untold Chapter,Fredaikis AB,Nether Productions LLC,,154,91,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
823730,823730,Oscillatron: Alien Frequency,Tap by Tap,Tap by Tap,,7,7,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1109750,1109750,Terracotta - Shards of Doom,"Will Eller, Melanie Gunter, Joshua Key, Zac Snowbank, Rian Schmit",Neumont College of Computer Science,,5,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
319170,319170,Disney G-Force,Eurocom,Disney,,185,12,0,"0 .. 20,000",167,0,167,0,1999,1999,0,2
555100,555100,Pimp Tight,Quiproquo Games,Quiproquo Games,,9,5,0,"0 .. 20,000",288,0,319,0,199,199,0,0
853240,853240,The Light Keeps Us Safe,Big Robot Ltd,Big Robot Ltd,,91,51,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
666310,666310,Space of Darkness,PilotLumpa Gaming,PilotLumpa Gaming,,38,40,0,"0 .. 20,000",0,0,0,0,0,0,0,0
758730,758730,Paw Patrol: On A Roll!,Torus Games,Outright Games LTD.,,136,25,0,"0 .. 20,000",0,0,0,0,2999,2999,0,20
405000,405000,UTOPIA 9 - A Volatile Vacation,Whalegun,Whalegun,,106,19,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
428210,428210,Horror in the Asylum,Adham Jaber,Adham Jaber,,18,31,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1304310,1304310,Ace of Space,OMEGACORE,OMEGACORE,,3,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
447010,447010,Bird of Light,Roach Interactive,Wilderness Journal Games,,20,3,0,"0 .. 20,000",331,0,331,0,499,499,0,0
524380,524380,Yore VR,Tectonic VR,Tectonic VR,,64,81,0,"0 .. 20,000",7,0,7,0,1499,1499,0,0
793000,793000,Star-Pit Starship,Puddledock Games,Puddledock Games,,2,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1032590,1032590,Heaven Dust,One Gruel Studio,indienova,,254,22,0,"0 .. 20,000",0,0,0,0,799,799,0,0
