,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
17080,17080,Tribes: Ascend,Hi-Rez Studios,Hi-Rez Studios,,6659,1711,0,"1,000,000 .. 2,000,000",262,0,67,0,0,0,0,9
327690,327690,Gigantic,Motiga Inc.,Perfect World Entertainment,,5490,1846,0,"1,000,000 .. 2,000,000",146,0,80,0,0,0,0,2
236110,236110,Dungeon Defenders II,Trendy Entertainment,Trendy Entertainment,,13340,4191,0,"1,000,000 .. 2,000,000",656,58,126,58,0,0,0,559
417860,417860,Emily is Away,Kyle Seeley,Kyle Seeley,,26173,3396,0,"1,000,000 .. 2,000,000",52,0,44,0,0,0,0,20
331470,331470,Everlasting Summer,Soviet Games,Soviet Games,,38428,1746,0,"1,000,000 .. 2,000,000",1012,0,236,0,0,0,0,524
453480,453480,Shadowverse CCG,"Cygames, Inc.","Cygames, Inc., Cygames Korea Inc.",,8025,2703,0,"1,000,000 .. 2,000,000",2121,0,117,0,0,0,0,3980
427270,427270,Orcs Must Die! Unchained,Robot Entertainment,Robot Entertainment,,4179,1927,0,"1,000,000 .. 2,000,000",347,0,144,0,0,0,0,6
1289310,1289310,Helltaker,vanripper,vanripper,,59059,1326,0,"1,000,000 .. 2,000,000",69,27,68,29,0,0,0,215
578310,578310,BRAIN / OUT,Desertkun,Desertkun,,11010,2428,0,"1,000,000 .. 2,000,000",559,0,69,0,0,0,0,308
215080,215080,WAKFU,Ankama Studio,Ankama Games,,5671,1694,0,"1,000,000 .. 2,000,000",689,68,189,68,0,0,0,637
1057240,1057240,Crucible Beta,Relentless Studios,Amazon Games,,4749,6261,0,"1,000,000 .. 2,000,000",107,0,59,0,0,0,0,1
364470,364470,The Elder Scrolls: Legends,"Sparkypants Studios, LLC",Bethesda Softworks,,6882,2402,0,"1,000,000 .. 2,000,000",1229,0,122,0,0,0,0,433
444640,444640,Bloons TD Battles,Ninja Kiwi,Ninja Kiwi,,13520,1794,0,"1,000,000 .. 2,000,000",577,41,132,41,0,0,0,815
47410,47410,Stronghold Kingdoms,FireFly Studios,FireFly Studios,,5326,2846,0,"1,000,000 .. 2,000,000",948,0,90,0,0,0,0,793
212160,212160,Vindictus,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.,,4517,1915,0,"1,000,000 .. 2,000,000",2878,0,362,0,0,0,0,550
761890,761890,Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,,18331,5503,0,"1,000,000 .. 2,000,000",860,892,126,1457,0,0,0,9038
706990,706990,BLOCKPOST,Skullcap Studios,Skullcap Studios,,9008,3151,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,132
237310,237310,Elsword,KOG,KOG Games,,5818,1850,0,"1,000,000 .. 2,000,000",896,0,160,0,0,0,0,479
537180,537180,Digimon Masters Online,"Move Games Co., Ltd.",MOVE ON USA CO.,,4417,2006,0,"1,000,000 .. 2,000,000",610,897,79,1793,0,0,0,1067
342200,342200,MechWarrior Online Solaris 7,Piranha Games Inc.,Piranha Games Inc.,,5739,1797,0,"1,000,000 .. 2,000,000",482,0,50,0,0,0,0,654
240320,240320,Panzar,Panzar Studio,OVALIS INVESTMENTS LIMITED,,3178,1683,0,"1,000,000 .. 2,000,000",425,0,143,0,0,0,0,44
814480,814480,Mini World: Block Art,"Miniwan Technology Co.,Limited","Miniwan Technology Co.,Limited",,1057,1297,0,"1,000,000 .. 2,000,000",434,0,628,0,0,0,0,245
738060,738060,Freddy Fazbear's Pizzeria Simulator,Scott Cawthon,Scott Cawthon,,11397,744,0,"1,000,000 .. 2,000,000",122,0,60,0,0,0,0,179
809960,809960,Radical Heights,Boss Key Productions,Boss Key Productions,,6087,4048,0,"1,000,000 .. 2,000,000",59,0,22,0,0,0,0,0
714010,714010,Aim Lab,Statespace,Statespace,,13936,876,0,"1,000,000 .. 2,000,000",197,93,38,45,0,0,0,4346
383080,383080,Sakura Clicker,Winged Cloud,Winged Cloud,,12359,2311,0,"1,000,000 .. 2,000,000",721,0,93,0,0,0,0,130
382490,382490,Relic Hunters Zero,Rogue Snail,Akupara Games,,6162,383,0,"1,000,000 .. 2,000,000",156,0,44,0,0,0,0,13
332070,332070,School of Dragons,"JumpStart Games, Inc.","JumpStart Games, Inc.",,2309,1940,0,"1,000,000 .. 2,000,000",95,0,51,0,0,0,0,75
